id;categorie_id;titre
63;2;J’ai parlé en français à un‧e enseignant‧e en dehors des heures de cours.
64;2;J’ai communiqué avec un‧e employé‧e de l’école en français.
65;2;J’ai remercié quelqu’un en français.
66;2;Je me suis excusé‧e en français.
67;2;J'ai accepté ou refusé une invitation en français.
68;2;J’ai encouragé quelqu’un à parler en français.
69;2;J’ai collaboré avec quelqu'un de classe en français.
70;2;J’ai aidé quelqu’un qui ne parle pas français en traduisant pour cette personne.
71;2;J’ai répondu au téléphone en français.
72;2;J’ai fait un appel téléphonique en français.
73;2;J’ai appelé un numéro sans frais (1-800) et j’ai choisi d’être servi‧e en français.
74;2;J’ai appelé quelqu’un en français par visioconférence.
75;2;J’ai commandé à manger à la cafétéria en français.
76;2;J’ai commandé à manger au restaurant en français.
77;2;J’ai commandé au service à l’auto en français.
78;2;J’ai demandé à être servi‧e en français dans un commerce.
79;2;J’ai utilisé le français dans un magasin.
80;2;J’ai parlé à un‧e ami‧e du Passeport de prise de risques linguistiques en français.
81;2;Je me suis rendu‧e à une soirée et j'y ai parlé français.
82;2;J’ai communiqué en français sur une plateforme de jeu en ligne.
83;2;J’ai participé à une activité parascolaire en français.
84;2;J'ai participé à une session de tutorat en français à l'école ou avec LEARN.
85;2;J’ai participé à une conversation de groupe en français.
86;2;J'ai rencontré quelqu'un de nouveau et je lui ai parlé en français.
87;2;J'ai expliqué un jeu à quelqu'un en français.
88;2;J'ai joué à un jeu de société en français.
89;2;J’ai utilisé le français dans un lieu d’activité récréative (soccer, cours de piano, jeu laser, quilles, etc.).
90;2;J’ai utilisé le français à un comptoir de prêt d’une bibliothèque.
91;2;J’ai utilisé le français dans un transport en commun (autobus, métro, etc.).
92;2;J’ai invité quelqu’un à faire une activité avec moi en français.
93;2;J’ai utilisé le français lors d'un voyage.
94;2;J’ai fait du bénévolat en français.
95;2;J’ai fait une entrevue d’emploi en français.
96;2;J’ai parlé en français quand j’ai vécu une émotion forte (tristesse, joie, etc.).
97;2;J’ai résolu un conflit en français.
